trade_date,open,high,low,close,volume,openinterest
2022-06-24,1589.29,1594.89,1579.22,1592.65,866040.61,0
2022-06-27,1593.77,1629.58,1591.53,1621.75,1497278.18,0
2022-06-28,1619.51,1641.9,1612.8,1637.42,1125110.48,0
2022-06-29,1639.66,1667.64,1628.47,1638.54,1266547.28,0
2022-06-30,1637.42,1681.07,1628.47,1676.59,1548745.01,0
2022-07-01,1678.83,1686.66,1660.92,1669.88,779243.32,0
2022-07-04,1673.23,1676.59,1650.85,1672.11,834968.07,0
2022-07-05,1677.71,1709.05,1658.68,1668.76,1115172.1,0
2022-07-06,1659.8,1671.0,1618.39,1626.23,1043335.23,0
2022-07-07,1627.35,1639.66,1609.44,1613.92,730160.98,0
2022-07-08,1622.87,1639.66,1608.32,1627.35,639698.23,0
2022-07-11,1622.87,1630.7,1607.2,1618.39,611691.94,0
2022-07-12,1612.8,1648.61,1609.44,1613.92,742882.42,0
2022-07-13,1613.92,1619.51,1554.6,1563.55,2175996.06,0
2022-07-14,1533.33,1534.45,1487.44,1496.4,2632120.87,0
2022-07-15,1508.71,1517.66,1479.61,1481.85,1598637.4,0
2022-07-18,1482.97,1504.23,1478.49,1498.64,1153505.81,0
2022-07-19,1493.04,1503.11,1486.32,1501.99,755597.1,0
2022-07-20,1503.11,1507.59,1494.16,1498.64,801458.66,0
2022-07-21,1490.8,1493.04,1453.87,1456.11,1970387.89,0
2022-07-22,1462.94,1473.2,1437.87,1459.52,1376509.74,0
2022-07-25,1458.38,1464.08,1443.57,1460.66,763955.81,0
2022-07-26,1452.69,1470.92,1448.13,1470.92,1024048.81,0
2022-07-27,1464.08,1467.5,1450.41,1457.24,923914.08,0
2022-07-28,1459.52,1470.92,1456.1,1467.5,750346.52,0
2022-07-29,1467.5,1469.78,1441.29,1444.71,831497.47,0
2022-08-01,1442.43,1442.43,1412.81,1415.09,1025732.71,0
2022-08-02,1392.3,1405.97,1360.4,1396.86,1373009.3,0
2022-08-03,1388.88,1398.0,1368.37,1370.65,746136.53,0
2022-08-04,1378.63,1386.6,1369.51,1385.46,602675.62,0
2022-08-05,1382.05,1404.83,1364.96,1402.55,765297.87,0
2022-08-08,1395.72,1408.25,1385.46,1390.02,551999.69,0
2022-08-09,1391.16,1392.3,1376.35,1380.91,558447.57,0
2022-08-10,1380.91,1394.58,1369.51,1374.07,683023.21,0
2022-08-11,1376.35,1411.67,1371.79,1407.11,1399303.61,0
2022-08-12,1396.86,1413.95,1390.02,1410.53,820503.56,0
2022-08-15,1400.28,1408.25,1377.49,1379.77,1172010.0,0
2022-08-16,1379.77,1390.02,1378.63,1382.05,631223.7,0
2022-08-17,1384.32,1415.09,1375.21,1412.81,1348506.58,0
2022-08-18,1421.92,1428.76,1385.46,1395.72,1269700.94,0
2022-08-19,1398.0,1452.69,1393.44,1432.18,2106417.24,0
2022-08-22,1433.32,1444.71,1413.95,1424.2,1138076.58,0
2022-08-23,1418.51,1423.06,1399.14,1405.97,921463.07,0
2022-08-24,1404.83,1428.76,1404.83,1412.81,1295375.33,0
2022-08-25,1412.81,1442.43,1401.42,1437.87,1064010.61,0
2022-08-26,1444.71,1452.69,1419.65,1436.74,927634.26,0
2022-08-29,1424.2,1431.04,1402.55,1415.09,924490.65,0
2022-08-30,1416.23,1428.76,1399.14,1421.92,799712.38,0
2022-08-31,1410.53,1456.1,1408.25,1452.69,1653041.58,0
2022-09-01,1441.29,1457.24,1433.32,1436.74,861981.95,0
2022-09-02,1437.87,1445.85,1416.23,1425.34,786362.81,0
2022-09-05,1419.65,1435.6,1409.39,1432.18,632039.98,0
2022-09-06,1433.32,1442.43,1416.23,1424.2,731294.99,0
2022-09-07,1415.09,1415.09,1399.14,1404.83,979812.81,0
2022-09-08,1403.69,1417.37,1401.42,1408.25,621116.92,0
2022-09-09,1412.81,1451.55,1408.25,1449.27,1951297.31,0
2022-09-13,1467.5,1483.45,1442.43,1475.47,1722689.89,0
2022-09-14,1452.69,1466.36,1446.99,1450.41,858035.84,0
2022-09-15,1458.38,1492.56,1454.97,1481.17,1841017.88,0
2022-09-16,1472.06,1475.47,1431.04,1431.04,1357447.81,0
2022-09-19,1428.76,1443.57,1421.92,1432.18,632121.04,0
2022-09-20,1436.74,1439.01,1403.69,1405.97,889988.53,0
2022-09-21,1402.55,1421.92,1390.02,1416.23,684197.39,0
2022-09-22,1404.83,1408.25,1395.72,1400.28,586133.38,0
2022-09-23,1394.58,1416.23,1393.44,1400.28,586441.06,0
2022-09-26,1385.46,1399.14,1366.1,1367.23,903729.04,0
2022-09-27,1367.23,1385.46,1345.59,1384.32,789622.29,0
2022-09-28,1377.49,1395.72,1358.12,1379.77,780925.58,0
2022-09-29,1395.72,1399.14,1346.73,1351.28,917718.04,0
2022-09-30,1352.42,1362.68,1347.87,1349.0,537230.19,0
2022-10-10,1333.05,1341.03,1305.71,1306.85,966080.18,0
2022-10-11,1314.82,1319.38,1300.01,1307.99,415253.37,0
2022-10-12,1304.57,1323.94,1293.18,1321.66,559572.43,0
2022-10-13,1311.41,1314.82,1288.62,1292.04,852615.97,0
2022-10-14,1304.57,1325.08,1298.87,1313.68,1096061.58,0
2022-10-17,1301.15,1312.55,1292.04,1307.99,1024822.71,0
2022-10-18,1315.96,1326.22,1305.71,1307.99,946837.09,0
2022-10-19,1301.15,1309.13,1285.2,1286.34,923989.68,0
2022-10-20,1279.5,1288.62,1271.53,1276.09,781923.23,0
2022-10-21,1277.22,1281.78,1261.27,1263.55,785574.29,0
2022-10-24,1263.55,1264.69,1208.86,1210.0,1383390.65,0
2022-10-25,1219.12,1231.65,1207.72,1213.42,1316979.4,0
2022-10-26,1212.28,1222.54,1208.86,1214.56,1143829.88,0
2022-10-27,1219.12,1227.09,1214.56,1216.84,957383.46,0
2022-10-28,1211.14,1219.12,1186.08,1187.22,1057947.01,0
2022-10-31,1176.96,1190.63,1164.43,1178.1,983095.69,0
2022-11-01,1182.66,1216.84,1180.38,1215.7,1381234.13,0
2022-11-02,1208.86,1216.84,1194.05,1211.14,1302988.18,0
2022-11-03,1200.89,1204.31,1182.66,1189.49,983535.61,0
2022-11-04,1184.94,1236.21,1183.8,1232.79,1776112.23,0
2022-11-07,1231.65,1243.04,1222.54,1239.63,988082.04,0
2022-11-08,1240.77,1244.18,1228.23,1236.21,583222.05,0
2022-11-09,1235.07,1262.41,1232.79,1240.77,832106.85,0
2022-11-10,1229.37,1241.9,1217.98,1238.49,552021.19,0
2022-11-11,1268.11,1328.5,1254.44,1302.29,2545070.55,0
2022-11-14,1333.05,1399.14,1333.05,1361.54,3872084.1,0
2022-11-15,1351.28,1387.74,1347.87,1368.37,1573901.34,0
2022-11-16,1363.82,1372.93,1343.31,1346.73,1278692.88,0
2022-11-17,1345.59,1349.0,1319.38,1331.91,1091047.16,0
2022-11-18,1337.61,1342.17,1318.24,1320.52,868093.29,0
2022-11-21,1307.99,1310.27,1278.36,1305.71,1047737.07,0
2022-11-22,1305.71,1359.26,1303.43,1346.73,1491323.88,0
2022-11-23,1342.17,1372.93,1335.33,1346.73,1247656.53,0
2022-11-24,1358.12,1366.1,1331.91,1341.03,796718.82,0
2022-11-25,1343.31,1393.44,1341.03,1386.6,1760728.17,0
2022-11-28,1355.84,1358.12,1331.91,1345.59,1331562.95,0
